node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
3237320422878733185,8,5,152,157,3,138,141,2,14,16,8.0,154.0,162.0,6.0,140.0,146.0,2.0,14.0,16.0,0.6,0.9078947368421053,0.75,0.9090909090909091,5,5,14,27.0,113.0,65.0,60,1306,1752,0.0006942378260438362,3.606430265162785e-5,0.032894736842083626,0.05194805194801822,0.021680548750612445,0.015368178829717291,0.012600806451612902,0.16683467741935484,0.09375,0.013890083426507268,0.019944598337950138,0.03735563520509757,0.04580152671755725,0.00010161439431059071,0.004975124378109451,9.94727941907889e-5,0.00011835746616761789,0.0,1.7231040279208945e-5,0.005950609937518596,0.12952494297332143
2298426527133167631,8,20,195,215,5,182,187,15,13,28,24.0,202.0,226.0,8.0,189.0,197.0,16.0,13.0,29.0,0.25,0.9333333333333333,0.3333333333333333,0.9356435643564357,6,5,14,73.0,130.0,118.0,95,1183,2867,0.0009106236419536033,0.00010819290795488356,0.10256410256404998,0.11881188118806,0.01720701567897954,0.01250444998220007,0.008955223880597015,0.09781859931113662,0.17324561403508773,0.013524548331121771,0.02221119245563966,0.03804051503585958,0.16793893129770993,0.0001179703257398153,0.004975124378109441,9.947279419078876e-5,0.0,0.00019833536376567817,2.8197141826764865e-5,0.009421799067737777,0.11732619260140831
2136735006556740672,1,9,21,30,7,21,28,2,0,2,15.0,21.0,36.0,13.0,21.0,34.0,2.0,0.0,2.0,0.7777777777777778,1.0,0.8666666666666667,1.0,5,2,16,41.0,21.0,83.0,60,240,573,9.466879446052311e-5,6.762056747180222e-5,0.4285714285693878,0.714285714282313,0.15517241379310345,0.1248513674197384,0.0199203187250996,0.32669322709163345,0.24166666666666667,0.06428571428571428,0.13723608445297505,0.2509920634920635,0.6106870229007634,0.0001370169376133799,0.004975124378109463,9.947279419078891e-5,1.640471915520525e-5,0.0,5.635494337891966e-6,0.005950609937518596,0.023802439750074383
2101303336580794907,1,10,34,44,9,20,29,1,14,15,20.0,37.0,57.0,19.0,23.0,42.0,1.0,14.0,15.0,0.9,0.5882352941176471,0.95,0.6216216216216216,5,5,15,43.0,32.0,78.0,29,677,794,0.00016679739976377882,9.016075662906964e-5,0.29411764705795845,0.5405405405390796,0.11627906976744186,0.09410430839002268,0.05182341650671785,0.30902111324376197,0.4888888888888889,0.04586404586404586,0.13589848546868605,0.21138211382113822,0.9007633587786259,0.00015678665660769602,0.004975124378109464,9.947279419078886e-5,0.0,0.0002091313475319767,7.809044510098118e-6,0.0028761281364673213,0.06714271546166815
2118514889134643790,1,15,38,52,14,30,43,1,8,9,32.0,55.0,85.0,29.0,47.0,74.0,3.0,8.0,11.0,0.9333333333333333,0.7894736842105263,0.90625,0.8545454545454545,5,5,16,40.0,35.0,93.0,62,771,1009,0.00023892600506703453,0.00013524113494360444,0.3947368421042244,0.581818181817124,0.10531400966183575,0.0819753086419753,0.07045330420535227,0.19442927362097215,0.2064102564102564,0.11268343815513626,0.1302978929522887,0.18702081051478642,0.9312977099236641,0.00022494375852360332,0.004975124378109462,9.947279419078882e-5,0.0,0.00015821782655200956,9.923584270389169e-6,0.006148963602102549,0.07646533769711396
2148339629432266027,1,11,30,41,5,26,31,6,4,10,12.0,30.0,42.0,6.0,26.0,32.0,6.0,4.0,10.0,0.45454545454545453,0.8666666666666667,0.5,0.8666666666666667,5,5,17,14.0,30.0,85.0,49,761,1416,0.00013524113494360444,5.409645397744178e-5,0.36666666666544445,0.3999999999986667,0.10046457607433217,0.07852468768590125,0.008695652173913044,0.1072463768115942,0.1375,0.08620689655172414,0.07827380952380952,0.15,0.0,0.0001834262376762039,0.004975124378109464,9.947279419078884e-5,0.0,0.0002529862257077964,1.3926457211963394e-5,0.0048596647823068535,0.0754735693741942
2174859783520381988,1,5,63,67,4,42,45,1,21,22,6.0,73.0,78.0,5.0,52.0,56.0,1.0,21.0,22.0,0.8,0.6666666666666666,0.8333333333333334,0.7123287671232876,1,5,16,7.0,48.0,100.0,30,1461,1657,0.0003245787238646507,2.254018915726741e-5,0.07936507936495339,0.08219178082180521,0.06060606060606061,0.04568047337278106,0.02533783783783784,0.22466216216216217,0.1,0.050887978142076504,0.0598119623924785,0.10795454545454546,0.40458015267175573,0.00010408359871720742,0.004975124378109455,9.947279419078888e-5,0.0,0.00033869915524809,1.6296708757219873e-5,0.002975304968759298,0.1448973519785778
1878305908224690747,4,14,93,107,10,82,92,4,11,15,17.0,94.0,111.0,13.0,83.0,96.0,4.0,11.0,15.0,0.7142857142857143,0.8817204301075269,0.7647058823529411,0.8829787234042553,5,3,15,45.0,78.0,50.0,77,407,930,0.00042375555615662726,7.663664313470919e-5,0.15053763440844029,0.18085106382959484,0.0220125786163522,0.012517006802721088,0.0038022813688212928,0.06844106463878327,0.1515837104072398,0.007227104532839963,0.017046420676755655,0.02901940401940402,0.3053435114503817,0.000126472845379251,0.004975124378109453,9.947279419078894e-5,0.0,0.0006726819044221566,9.146613846840365e-6,0.007636616086482198,0.040364970742834475
2135695114418399276,4,19,98,116,12,97,108,7,1,8,22.0,108.0,128.0,14.0,107.0,119.0,8.0,1.0,9.0,0.631578947368421,0.9897959183673469,0.6363636363636364,0.9907407407407407,5,4,16,48.0,76.0,60.0,78,738,1448,0.00047785201013406906,9.016075662906964e-5,0.19387755102021031,0.2037037037035151,0.036782195039075774,0.02717764060356653,0.02115987460815047,0.11050156739811912,0.16176470588235295,0.029628537735849055,0.04242191857222532,0.0702418038866637,0.8091603053435115,0.00015910515981506135,0.004975124378109449,9.947279419078891e-5,0.0,0.00028629474025976265,1.4241179408843923e-5,0.007735792918774174,0.07319250223147873
9529544724177857268,8,16,251,266,9,249,257,7,2,9,19.0,251.0,269.0,12.0,249.0,260.0,7.0,2.0,9.0,0.5625,0.9920318725099602,0.631578947368421,0.9920318725099602,7,4,14,73.0,141.0,66.0,80,914,2366,0.0011270094578633705,8.114468096616267e-5,0.06374501992029333,0.07569721115534833,0.010020011435105775,0.0062413911845730025,0.0031522793404461687,0.0862027158098933,0.25793650793650796,0.001975903614457831,0.007865724381625442,0.014386243686510414,0.015267175572519083,0.00010792826604727823,0.004975124378109426,9.947279419078891e-5,0.0010921602662335994,0.0,2.326977243185409e-5,0.007934146583358127,0.0906476247148666
