node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
3237320422878733185,1,4,56,60,1,56,57,3,0,3,5.0,56.0,61.0,2.0,56.0,58.0,3.0,0.0,3.0,0.25,1.0,0.4,1.0,3,0,4,26.0,42.0,11.0,21,57,418,0.00037026017389004594,3.305894409732553e-5,0.07142857142844387,0.08928571428555485,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010483451569444879,0.006060606060606058,9.96313639533725e-5,0.0,0.00011152534336666964,4.111058696751906e-6,0.0020827134781315083,0.005653079440642666
2298426527133167631,1,6,66,72,2,64,66,4,2,6,9.0,67.0,76.0,3.0,65.0,68.0,6.0,2.0,8.0,0.3333333333333333,0.9696969696969697,0.3333333333333333,0.9701492537313433,3,1,6,27.0,50.0,34.0,22,439,1286,0.0004429898509041621,5.950609937518596e-5,0.09090909090895316,0.13432835820875472,0.016933028919330288,0.003279320987654321,0.004016064257028112,0.014056224899598393,0.2777777777777778,0.0,0.003984432913269088,0.006300963676797628,0.0,0.00010480820994725078,0.006060606060606055,9.963136395337244e-5,0.0,0.0005387704665703597,1.2647898287136245e-5,0.0021818903104234852,0.04353862937617772
2136735006556740672,2,4,3,7,4,3,7,0,0,0,8.0,3.0,11.0,8.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,3,10.0,4.0,17.0,5,4,28,1.983536645839532e-5,5.289431055572085e-5,1.3333333332888888,2.6666666665777776,0.26785714285714285,0.16326530612244897,0.0,0.0,0.5208333333333334,0.0,0.1893939393939394,0.2727272727272727,0.0,0.00018688059116679187,0.006060606060606063,9.963136395337263e-5,5.0074712105496744e-5,0.0,2.753819222704626e-7,0.0004958841614598829,0.00039670732916790636
2101303336580794907,2,1,4,5,1,4,5,0,0,0,2.0,5.0,7.0,2.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,3,5.0,5.0,11.0,3,12,28,3.305894409732553e-5,1.3223577638930212e-5,0.24999999999375,0.399999999992,0.3,0.16,0.0,0.5384615384615384,0.0,0.0,0.125,0.25,0.0,0.00010787808900623588,0.006060606060606063,9.963136395337264e-5,3.172756233837948e-5,0.0,2.753819222704626e-7,0.0002975304968759298,0.0011901219875037191
2118514889134643790,2,2,18,19,2,18,19,0,0,0,2.0,23.0,24.0,2.0,23.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,3,5.0,13.0,18.0,3,40,40,0.00014545935402823234,6.611788819465106e-6,0.11111111111049383,0.08695652173875237,0.10130718954248366,0.04152249134948097,0.05405405405405406,0.3783783783783784,0.0,0.048295454545454544,0.06426735218508997,0.10054347826086957,0.8285714285714286,0.00011173769271207556,0.006060606060606067,9.963136395337262e-5,0.00011079820087389614,0.0,3.9340274610066084e-7,0.0002975304968759298,0.0039670732916790635
2148339629432266027,3,3,5,8,3,5,8,0,0,0,3.0,5.0,8.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,3,5.0,7.0,6.0,4,6,45,3.305894409732553e-5,1.983536645839532e-5,0.599999999988,0.599999999988,0.19444444444444445,0.09375,0.0,0.06666666666666667,0.3333333333333333,0.0,0.05357142857142857,0.07142857142857142,0.0,0.0001186311559574856,0.006060606060606063,9.96313639533726e-5,3.6514338461413054e-5,0.0,4.4257808936324345e-7,0.00039670732916790636,0.0005950609937518596
2174859783520381988,3,2,18,19,2,18,19,0,0,0,3.0,25.0,27.0,3.0,25.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,4,14.0,15.0,38.0,2,53,54,0.00015868293166716255,1.3223577638930212e-5,0.11111111111049383,0.11999999999952,0.10130718954248366,0.04152249134948097,0.0,0.3584905660377358,0.0,0.057291666666666664,0.07208237986270023,0.1201923076923077,0.9142857142857143,0.0001062588775023442,0.006060606060606062,9.963136395337266e-5,0.00012577766738808283,0.0,5.310937072358921e-7,0.00019835366458395318,0.00525637211147476
1878305908224690747,3,3,53,56,2,53,55,1,0,1,4.0,53.0,57.0,3.0,53.0,56.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.75,1.0,1,0,3,5.0,38.0,6.0,6,54,225,0.0003504248074316506,2.6447155277860424e-5,0.05660377358479886,0.07547169811306514,0.018483709273182956,0.0009566326530612245,0.0,0.0,0.375,0.0,0.0009569377990430622,0.0009569377990430622,0.0,0.0001061274884686352,0.006060606060606059,9.963136395337256e-5,1.8349895883895684e-5,0.0,2.2128904468162173e-6,0.0005950609937518596,0.005355548943766736
2135695114418399276,3,4,69,72,4,69,72,0,0,0,5.0,74.0,77.0,5.0,74.0,77.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,3,5.0,49.0,15.0,7,298,342,0.0004760487950014877,1.983536645839532e-5,0.05797101449266961,0.06756756756747626,0.01670020120724346,0.0022448979591836735,0.004784688995215311,0.03588516746411483,0.16666666666666666,0.001451077943615257,0.0031440548780487807,0.005410628019323672,0.42857142857142855,0.00011544627760158409,0.0060606060606060545,9.963136395337253e-5,0.00015910457835210945,0.0,3.36359347916065e-6,0.0006942378260438362,0.029554696023009024
9529544724177857268,4,9,208,216,1,207,207,8,1,9,10.0,208.0,217.0,1.0,207.0,207.0,9.0,1.0,10.0,0.1111111111111111,0.9951923076923077,0.1,0.9951923076923077,3,1,6,28.0,96.0,35.0,24,332,1134,0.001368640285629277,5.950609937518596e-5,0.04326923076920997,0.048076923076899966,0.004911975657465768,0.0002183596820683029,0.0005686664771111743,0.0014216661927779358,0.1746031746031746,0.0,0.00031370343126649645,0.0005433837593462006,0.05714285714285714,0.00010604634082171146,0.006060606060606076,9.963136395337255e-5,0.00010036689925185804,0.0,1.1152967851953734e-5,0.0023802439750074383,0.03292670832093623
