node,community,in_degree,out_degree,total_degree,in_degree_in_group,out_degree_in_group,total_degree_in_group,in_degree_between,out_degree_between,total_degree_between,weighted_in_degree,weighted_out_degree,weighted_total_degree,weighted_in_degree_in_group,weighted_out_degree_in_group,weighted_total_degree_in_group,weighted_in_degree_between,weighted_out_degree_between,weighted_total_degree_between,in_group_indegree_ratio,in_group_outdegree_ratio,in_group_indegree_strength_fraction,in_group_outdegree_strength_fraction,k_core_in,k_core_out,k_core_undirected,s_core_in,s_core_out,s_core_undirected,in_reach_2,out_reach_2,undirected_reach_2,out_degree_normalized,in_degree_normalized,in_out_ratio,weighted_in_out_ratio,ego_density,density_clustering_coefficient,cg_cycle,cg_middleman,cg_in,cg_out,cg_total,barrat_local,r_norm_ranked,page_rank,salsa_hub,salsa_authority,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized,in_reach_2_normalized,out_reach_2_normalized
827343025470738433,1,0,42,42,0,39,39,0,3,3,0.0,59.0,59.0,0.0,56.0,56.0,0.0,3.0,3.0,0.0,0.9285714285714286,0.0,0.9491525423728814,0,0,5,0.0,18.0,31.0,1,43,62,0.0025784459400402062,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008206135179071622,0.01333333333333331,0.0,0.0,0.005638180705623053,3.4196293342422926e-5,0.0007429420505200594,0.03194650817236255
28468549,1,4,23,27,2,20,22,2,3,5,10.0,27.0,37.0,8.0,24.0,32.0,2.0,3.0,5.0,0.5,0.8695652173913043,0.8,0.8888888888888888,0,0,5,11.0,13.0,30.0,7,24,577,0.0011799667861200943,0.000437024735600035,0.17391304347750475,0.37037037036899867,0.08333333333333333,0.04938271604938271,0.0,0.4940828402366864,0.0,0.0,0.0867983367983368,0.1735966735966736,0.0,0.0008691908865667402,0.013333333333333313,0.0008992805755395675,0.0,0.004456001564308587,0.0003182461493319037,0.005200594353640416,0.017830609212481426
24112747,1,2,414,416,2,390,392,0,24,24,4.0,773.0,777.0,4.0,744.0,748.0,0.0,29.0,29.0,1.0,0.9420289855072463,1.0,0.96248382923674,0,0,5,6.0,26.0,44.0,5,440,522,0.0337820120618827,0.000174809894240014,0.0048309178743949684,0.005174644243207609,0.0029687788230953697,0.0005720691568047337,0.0,0.14740787008119924,0.0,0.0003899777289827063,0.0011179854553348529,0.0022359709106697058,0.0,0.0008686920435560985,0.013333333333333414,0.0008992805755395713,0.0,0.07196502049782916,0.000287910727818464,0.003714710252600297,0.32689450222882616
3837500787,40,0,128,128,0,126,126,0,2,2,0.0,142.0,142.0,0.0,140.0,140.0,0.0,2.0,2.0,0.0,0.984375,0.0,0.9859154929577465,0,0,2,0.0,24.0,12.0,1,129,142,0.006205751245520496,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008206135179071622,0.013333333333333265,0.0,0.029673665717823927,0.0,7.832054281651703e-5,0.0007429420505200594,0.09583952451708767
81155662,17,0,49,49,0,37,37,0,12,12,0.0,64.0,64.0,0.0,51.0,51.0,0.0,13.0,13.0,0.0,0.7551020408163265,0.0,0.796875,0,0,5,0.0,19.0,28.0,1,50,66,0.002796958307840224,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008206135179071622,0.013333333333333324,0.0,0.006202994673131124,0.0,3.640250581612763e-5,0.0007429420505200594,0.03714710252600297
10126672,2,0,18,18,0,12,12,0,6,6,0.0,18.0,18.0,0.0,12.0,12.0,0.0,6.0,6.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0,0,3,0.0,12.0,17.0,1,19,26,0.000786644524080063,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008206135179071622,0.013333333333333319,0.0,0.0002816940043597338,0.0,1.4340381079080584e-5,0.0007429420505200594,0.01411589895988113
1017578055072604160,1,2,31,33,2,31,33,0,0,0,2.0,31.0,33.0,2.0,31.0,33.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,3.0,14.0,24.0,5,32,491,0.0013547766803601083,8.7404947120007e-5,0.06451612903204995,0.06451612903204995,0.049910873440285206,0.021120293847566574,0.0,0.3709677419354839,0.0,0.0,0.021780303030303032,0.043560606060606064,0.0,0.0008297765937330154,0.013333333333333327,0.0008992805755395687,0.0,0.0023056361329617525,0.00027081258114725255,0.003714710252600297,0.0237741456166419
54885400,3,0,126,126,0,89,89,0,37,37,0.0,156.0,156.0,0.0,111.0,111.0,0.0,45.0,45.0,0.0,0.7063492063492064,0.0,0.7115384615384616,0,0,5,0.0,25.0,29.0,1,142,165,0.0068175858753605455,0.0,0.0,0.0,0.00837395325584302,0.0005039052658100278,0.0,0.0,0.0,0.00046153846153846153,0.00046153846153846153,0.0009230769230769231,0.0,0.0008206135179071622,0.013333333333333345,0.0,0.003615488804629252,0.0,9.100626454031908e-5,0.0007429420505200594,0.10549777117384844
25930421,1,0,90,90,0,85,85,0,5,5,0.0,102.0,102.0,0.0,96.0,96.0,0.0,6.0,6.0,0.0,0.9444444444444444,0.0,0.9411764705882353,0,0,5,0.0,22.0,34.0,1,126,141,0.004457652303120356,0.0,0.0,0.0,0.013064713064713065,0.0020987654320987655,0.0,0.0,0.0,0.002478519497686715,0.002478519497686715,0.00495703899537343,0.0,0.0008206135179071622,0.013333333333333327,0.0,0.0,0.009536587463057078,7.776898969809086e-5,0.0007429420505200594,0.09361069836552749
18749026,1,0,8,8,0,8,8,0,0,0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,3,0.0,10.0,16.0,1,9,18,0.000437024735600035,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008206135179071622,0.013333333333333319,0.0,0.0,0.0006961056540752963,9.927956131671174e-6,0.0007429420505200594,0.006686478454680535
